City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,komsomolskiy,40.43,71.72,64.4,52,100,4.7,UZ,1587774471
1,muros,42.78,-9.06,57.0,89,82,1.01,ES,1587774471
2,east london,-33.02,27.91,66.61,83,79,11.18,ZA,1587774472
3,amahai,-3.33,128.92,83.5,73,76,2.51,ID,1587774472
4,cascais,38.7,-9.42,59.0,82,40,4.7,PT,1587774472
5,mataura,-46.19,168.86,51.01,89,60,14.0,NZ,1587774472
6,avarua,-21.21,-159.78,82.4,74,79,8.05,CK,1587774473
7,hilo,19.73,-155.09,80.6,57,40,11.41,US,1587774407
8,yokadouma,3.52,15.05,73.85,66,20,1.43,CM,1587774474
9,namibe,-15.2,12.15,74.55,68,0,5.46,AO,1587774475
10,rawson,-43.3,-65.1,56.82,72,3,12.33,AR,1587774477
11,walker,30.73,-95.57,89.6,33,1,10.29,US,1587774477
12,arraial do cabo,-22.97,-42.03,74.28,67,0,10.33,BR,1587774336
13,albany,42.6,-73.97,48.2,45,20,3.36,US,1587774308
14,butaritari,3.07,172.79,81.61,82,96,20.11,KI,1587774478
15,cherskiy,68.75,161.3,29.43,97,100,3.36,RU,1587774479
16,aswan,24.09,32.91,75.65,20,0,8.72,EG,1587774479
17,altay,47.87,88.12,54.28,23,0,9.15,CN,1587774479
18,leh,34.17,77.58,31.77,18,0,1.43,IN,1587774479
19,hithadhoo,-0.6,73.08,83.8,76,95,18.07,MV,1587774480
20,padang,-0.95,100.35,78.94,78,100,3.47,ID,1587774481
21,port alfred,-33.59,26.89,64.99,93,94,1.99,ZA,1587774358
22,ushuaia,-54.8,-68.3,35.6,74,75,4.7,AR,1587774481
23,kapaa,22.08,-159.32,80.6,74,40,19.46,US,1587774481
24,bredasdorp,-34.53,20.04,60.8,93,70,2.24,ZA,1587774482
25,okitipupa,6.5,4.78,78.44,91,87,3.11,NG,1587774482
26,thompson,55.74,-97.86,39.2,35,40,6.93,CA,1587774482
27,punta arenas,-53.15,-70.92,39.2,64,20,12.75,CL,1587774245
28,atuona,-9.8,-139.03,81.66,72,1,13.24,PF,1587774483
29,rikitea,-23.12,-134.97,76.98,68,96,8.5,PF,1587774483
30,olafsvik,64.89,-23.71,40.53,77,15,20.98,IS,1587774484
31,kapit,2.02,112.93,73.69,95,100,1.74,MY,1587774484
32,vila franca do campo,37.72,-25.43,60.8,82,40,4.7,PT,1587774485
33,shelburne,44.08,-80.2,46.0,56,90,1.01,CA,1587774285
34,mar del plata,-38.0,-57.56,64.99,100,40,6.93,AR,1587774306
35,beloha,-25.17,45.05,69.04,87,1,9.73,MG,1587774485
36,norman wells,65.28,-126.83,14.0,51,75,17.22,CA,1587774486
37,pijijiapan,15.7,-93.23,86.86,58,6,6.44,MX,1587774486
38,aripuana,-9.17,-60.63,74.57,92,99,1.81,BR,1587774486
39,surt,31.21,16.59,61.84,77,0,4.34,LY,1587774487
40,chifeng,42.27,118.96,44.31,45,4,21.03,CN,1587774488
41,bluff,-46.6,168.33,51.01,89,69,14.0,NZ,1587774490
